ID,Location,x,y
1001,Boigu Island,142.2153,-9.260192
1002,Saibai Island,142.6217,-9.38044
1003,Erub (Darnley) Island,143.7703,-9.585443
1004,Yorke Island,143.4073,-9.750172
1005,Iama (Yam) Island,142.7744,-9.900403
1006,Mer (Murray) Island,144.0504,-9.918105
1007,Mabuiag Island,142.1829,-9.95718
1008,Badu Island,142.1388,-10.12322
1009,St Pauls,142.3349,-10.18488
1010,Warraber Island,142.8238,-10.20726
1011,Hammond Island,142.2047,-10.54803
1012,Thursday Island,142.2167,-10.5804
1013,Horn Island,142.2837,-10.60644
1014,Seisia,142.3701,-10.85188
1015,New Mapoon,142.3863,-10.87403
1016,Umagico,142.3489,-10.88916
1017,Bamaga,142.3893,-10.89279
1018,Injinoo,142.3275,-10.90209
1019,Mapoon,141.8976,-12.02178
1020,Weipa,141.8777,-12.62496
1021,Napranum,141.8909,-12.68153
1022,Lockhart River,143.3424,-12.78591
1023,Aurukun,141.7292,-13.35609
1024,Coen,143.1999,-13.9448
1025,Pormpuraaw,141.6245,-14.89198
1026,Hope Vale,145.1102,-15.2971
1027,Cooktown,145.2488,-15.47177
1028,Kowanyama,141.7435,-15.47744
1029,Wujal Wujal,145.3188,-15.94835
1030,Daintree,145.3306,-16.26079
1031,Wonga Beach,145.4137,-16.3472
1032,Newell,145.4061,-16.425
1033,Cooya Beach,145.4067,-16.44813
1034,Mossman,145.3731,-16.46155
1035,Port Douglas,145.4662,-16.48533
1036,Craiglie,145.467,-16.51455
1037,Oak Beach,145.5147,-16.5941
1038,Gununa,139.178,-16.65843
1039,Kuranda,145.6352,-16.82032
1040,Yarrabah,145.865,-16.90636
1041,Cairns,145.7649,-16.92311
1042,Mareeba,145.4221,-16.9965
1043,Mareeba - South,145.4211,-17.05062
1044,Gordonvale,145.7806,-17.09611
1045,Goldsborough,145.7509,-17.14553
1046,Dimbulah,145.1096,-17.15058
1047,Chillagoe,144.5225,-17.15243
1048,Walkamin,145.4411,-17.15428
1049,Tinaroo,145.5505,-17.16863
1050,Tolga - West,145.4506,-17.204
1051,Tolga,145.4776,-17.22463
1052,Atherton,145.4776,-17.26641
1053,Yungaburra,145.5851,-17.26885
1054,Babinda,145.9219,-17.3445
1055,Bramston Beach,146.0198,-17.35108
1056,Malanda,145.5954,-17.35328
1057,Herberton,145.3852,-17.38376
1058,Mirriwinni,145.9089,-17.39951
1059,Tarzali,145.61,-17.42092
1060,Karumba,140.8383,-17.48673
1061,Flying Fish Point,146.0754,-17.49616
1062,Coconuts,146.0431,-17.50908
1063,Millaa Millaa,145.612,-17.51108
1064,Belvedere,145.9896,-17.51972
1065,Innisfail,146.0299,-17.52363
1066,Wangan,146.0083,-17.57463
1067,Mourilyan,146.0419,-17.583
1068,South Johnstone,145.9951,-17.60097
1069,Ravenshoe,145.4842,-17.60534
1070,Normanton,141.0761,-17.67331
1071,Mount Garnet,145.1208,-17.67675
1072,Burketown,139.5466,-17.74255
1073,Silkwood,146.0203,-17.74863
1074,Kurrimine,146.1047,-17.77796
1075,El Arish,146.0048,-17.80559
1076,Bingil Bay,146.0976,-17.83471
1077,Mission Beach,146.107,-17.86879
1078,Wongaling Beach,146.091,-17.91401
1079,Tully,145.9217,-17.93491
1080,Doomadgee,138.824,-17.94141
1081,South Mission Beach,146.0909,-17.94652
1082,Carmoo,146.0461,-17.94788
1083,Tully Heads,146.0563,-18.01976
1084,Croydon,142.2422,-18.2051
1085,Cardwell,146.0227,-18.26396
1086,Georgetown,143.5479,-18.29241
1087,Lucinda,146.3337,-18.52889
1088,Halifax,146.2856,-18.58094
1089,Macknade,146.2605,-18.58664
1090,Taylors Beach,146.3273,-18.62407
1091,Trebonne,146.0781,-18.62689
1092,Ingham,146.1581,-18.64706
1093,Allingham,146.2953,-18.70771
1094,Palm Island,146.6058,-18.72665
1095,Balgal Beach,146.4083,-19.01722
1096,Horseshoe Bay,146.8597,-19.11815
1097,Toolakea,146.5788,-19.14605
1098,Arcadia Bay,146.8651,-19.14853
1099,Nelly Bay,146.8484,-19.15696
1100,Saunders Beach,146.6098,-19.15875
1101,Bluewater,146.5589,-19.1675
1102,Picnic Bay,146.8379,-19.17814
1103,Yabulu,146.5851,-19.20155
1104,Pallarenda,146.773,-19.20234
1105,Bluewater Park,146.5138,-19.20308
1106,Black River,146.618,-19.23302
1107,Townsville,146.8092,-19.26508
1108,Rangewood,146.6392,-19.31192
1109,Alice River,146.6023,-19.32778
1110,Nome,146.9099,-19.37372
1111,Cungulla,147.1112,-19.40128
1112,Alligator Creek,146.9432,-19.42302
1113,Alva Beach,147.4799,-19.45506
1114,Giru,147.1066,-19.51333
1115,Kalamia Estate,147.4184,-19.53428
1116,Brandon,147.3554,-19.55389
1117,Ayr,147.4056,-19.57545
1118,Home Hill,147.4144,-19.66043
1119,Camooweal,138.119,-19.92248
1120,Bowen,148.2418,-20.01494
1121,Merinda,148.1648,-20.01751
1122,Charters Towers,146.2598,-20.07699
1123,Hideaway Bay - Dingo Beach,148.4886,-20.08489
1124,Ravenswood,146.8898,-20.10146
1125,Airlie Beach,148.7132,-20.26829
1126,Cannonvale,148.6962,-20.2769
1127,Hamilton Island,148.9686,-20.35179
1128,Mount Julian,148.6196,-20.37468
1129,Proserpine,148.5821,-20.40489
1130,Collinsville,147.8441,-20.55341
1131,Scottville,147.8184,-20.57206
1132,Midge Point,148.7213,-20.65029
1133,Julia Creek,141.7435,-20.65701
1134,Cloncurry,140.5092,-20.70554
1135,Mount Isa,139.4993,-20.73044
1136,Richmond,143.1423,-20.73186
1137,Hughenden,144.1992,-20.84553
1138,Seaforth,148.9607,-20.89524
1139,Calen,148.7716,-20.89849
1140,Haliday Bay - Ball Bay,148.9879,-20.90075
1141,Killarney,152.2963,-28.33305
1142,Nindaroo,149.1636,-21.05945
1143,Farleigh,149.1017,-21.10705
1144,Erakala,149.1071,-21.12326
1145,Finch Hatton,148.6313,-21.14165
1146,Marian,148.9428,-21.14558
1147,Mackay,149.1664,-21.15497
1148,Mirani,148.8653,-21.16023
1149,Walkerston,149.0554,-21.16249
1150,Bakers Creek,149.1521,-21.20776
1151,Eton,148.9732,-21.26365
1152,Hay Point,149.2905,-21.29652
1153,Glenden,148.1138,-21.35315
1154,Grasstree Beach,149.3067,-21.36404
1155,Campwin Beach,149.313,-21.37793
1156,Sarina Beach,149.3095,-21.38995
1157,Sarina,149.216,-21.4206
1158,Armstrong Beach,149.2873,-21.45078
1159,Nebo,148.6917,-21.69028
1160,Moranbah,148.0456,-22.0039
1161,Winton,143.0414,-22.38676
1162,Dysart,148.3481,-22.58982
1163,Middlemount,148.7039,-22.81426
1164,Clermont,147.6374,-22.82681
1165,Byfield,150.6508,-22.85074
1166,Boulia,139.9082,-22.91287
1167,Aramac,145.2439,-22.9698
1168,Tieri,148.3497,-23.03219
1169,Capella,148.0248,-23.08513
1170,Yeppoon,150.7431,-23.12635
1171,The Caves,150.4661,-23.17545
1172,Mulambin,150.7857,-23.19155
1173,Kinka Beach,150.7876,-23.2243
1174,Glendale,150.4751,-23.24572
1175,Emu Park,150.8238,-23.25994
1176,Keppel Sands,150.7919,-23.3275
1177,Rockhampton,150.4974,-23.38918
1178,Rubyvale,147.6974,-23.42054
1179,Gracemere,150.4558,-23.43865
1180,Longreach,144.2475,-23.44447
1181,Sapphire,147.7193,-23.46006
1182,Emerald,148.1598,-23.52349
1183,Barcaldine,145.2854,-23.55288
1184,Blackwater,148.8834,-23.5779
1185,Bouldercombe,150.4668,-23.57818
1186,Bluff,149.0695,-23.57993
1187,Mount Morgan,150.3881,-23.64464
1188,Dingo,149.3315,-23.64629
1189,Alpha,146.6387,-23.65028
1190,Duaringa,149.6687,-23.71846
1191,Willows Gemfields,147.5411,-23.73932
1192,Mount Larcom,150.9799,-23.8124
1193,Gladstone,151.2578,-23.84753
1194,Tannum Sands,151.3685,-23.94867
1195,Wurdong Heights,151.3025,-23.98485
1196,Calliope,151.213,-23.99655
1197,Benaraby,151.3256,-24.00187
1198,Springsure,148.0891,-24.11595
1199,Woorabinda,149.4575,-24.1306
1200,Seventeen Seventy,151.8855,-24.16343
1201,Baralaba,149.8114,-24.17958
1202,Agnes Water,151.9008,-24.21017
1203,Taylors Creek,149.1545,-24.25325
1204,Miriam Vale,151.5583,-24.328
1205,Biloela,150.5098,-24.39602
1206,Blackall,145.4645,-24.42336
1207,Thangool,150.5751,-24.48738
1208,Moura,149.9719,-24.57498
1209,Moore Park,152.2757,-24.71776
1210,Burnett Heads,152.4149,-24.76892
1211,Bargara,152.4607,-24.81453
1212,Gooburrum,152.345,-24.81685
1213,Sloping Hummock,152.4252,-24.8436
1214,Oakwood,152.298,-24.85082
