RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
Route 416 - 416 - Cairns Hospital ,2022-04-03 10:48:32.000001,2022-04-03 15:30:29,2022-04-03 00:48:32,2022-04-03 05:30:29.000001,237.03951092,381.47887762,281.9391976,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 405 - 405 - Cairns Hospital ,2022-04-03 10:48:32.000001,2022-04-03 12:24:15,2022-04-03 00:48:32,2022-04-03 02:24:15,77.06175181,124.01911595,95.52065852,,,,,405,1,1075,El Arish,146.0048,-17.80559,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 399 - 399 - Cairns Hospital ,2022-04-03 10:48:32.000001,2022-04-03 12:39:45,2022-04-03 00:48:32,2022-04-03 02:39:45,76.0429201,122.37946196,111.20750062,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 203 - 203 - Cairns Hospital ,2022-04-03 10:48:32.000001,2022-04-04 04:30:43,2022-04-03 00:48:32,2022-04-03 18:30:43,1017.93761563,1638.21507052,1062.17706087,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 140 - 140 - Cairns Hospital ,2022-04-03 10:48:32.000001,2022-04-04 00:36:05,2022-04-03 00:48:32,2022-04-03 14:36:05.000001,786.28186472,1265.40053209,827.83890058,,,,,140,1,1254,Injune,148.5651,-25.84311,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 139 - 139 - Cairns Hospital ,2022-04-03 10:48:32.000001,2022-04-04 03:47:57,2022-04-03 00:48:32,2022-04-03 17:47:57,988.57422362,1590.95917725,1019.41342634,,,,,139,1,1253,Augathella,146.5842,-25.79596,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 34 - 34 - Cairns Hospital ,2022-04-03 10:48:32.000001,2022-04-04 05:26:49,2022-04-03 00:48:32,2022-04-03 19:26:49,1066.25179043,1715.96935335,1118.1938793,,,,,34,1,1367,Withcott,152.026,-27.55364,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 45 - 45 - Cairns Hospital ,2022-04-03 10:48:32.000001,2022-04-04 05:17:42,2022-04-03 00:48:32,2022-04-03 19:17:42,1061.84904116,1708.88380106,1109.16791291,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 52 - 52 - Cairns Hospital ,2022-04-03 10:48:32.000001,2022-04-04 05:22:59,2022-04-03 00:48:32,2022-04-03 19:22:59.000001,1070.00526866,1722.01000311,1114.45048798,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 322 - 322 - Cairns Hospital ,2022-04-03 10:48:32.000001,2022-04-04 01:27:49,2022-04-03 00:48:32,2022-04-03 15:27:49,836.86680465,1346.80926448,879.25541267,,,,,322,1,1214,Oakwood,152.298,-24.85082,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
