RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
Route 416 - 416 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-02 07:32:43,1990-01-01 02:00:00,1990-01-01 21:32:43,1152.84278252,1855.32432565,1174.0259923,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
Route 405 - 405 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-02 04:38:51.000001,1990-01-01 02:00:00,1990-01-01 18:38:51,970.05850582,1561.16095832,999.89010237,,,,,405,1,1075,El Arish,146.0048,-17.80559,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
Route 399 - 399 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-02 06:04:31,1990-01-01 02:00:00,1990-01-01 20:04:31,1040.31892146,1674.2343628,1083.22380148,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
Route 203 - 203 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-01 12:34:04,1990-01-01 02:00:00,1990-01-01 02:34:04.000001,31.46035389,50.63063302,34.10179053,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
Route 140 - 140 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-01 18:36:48,1990-01-01 02:00:00,1990-01-01 08:36:48.000001,370.35046591,596.02249226,397.4704953,,,,,140,1,1254,Injune,148.5651,-25.84311,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
Route 139 - 139 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-01 20:30:40,1990-01-01 02:00:00,1990-01-01 10:30:40,481.1981903,774.41496921,510.6039392,,,,,139,1,1253,Augathella,146.5842,-25.79596,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
Route 34 - 34 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-01 13:37:50,1990-01-01 02:00:00,1990-01-01 03:37:50,90.10611704,145.01202885,97.64157664,,,,,34,1,1367,Withcott,152.026,-27.55364,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
Route 45 - 45 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-01 14:01:02.000001,1990-01-01 02:00:00,1990-01-01 04:01:02,102.23760059,164.53579815,120.71829017,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
Route 52 - 52 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-01 14:04:26,1990-01-01 02:00:00,1990-01-01 04:04:26,105.13238355,169.19450905,124.08165452,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
Route 322 - 322 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-01 15:51:39,1990-01-01 02:00:00,1990-01-01 05:51:39,220.63777856,355.08279526,231.95032326,,,,,322,1,1214,Oakwood,152.298,-24.85082,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
Route 221 - 221 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-02 01:31:55,1990-01-01 02:00:00,1990-01-01 15:31:55,786.89183306,1266.38218294,813.42168773,,,,,221,1,1113,Alva Beach,147.4799,-19.45506,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
Route 184 - 184 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-01 12:57:09,1990-01-01 02:00:00,1990-01-01 02:57:09.000001,54.39233517,87.53615333,57.22294421,,,,,184,1,1298,Kiels Mountain,153.001,-26.6527,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
Route 96 - 96 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-01 15:22:10,1990-01-01 02:00:00,1990-01-01 05:22:10,183.07941552,294.63834817,201.12978074,,,,,96,1,1429,Inglewood,151.0795,-28.41751,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
Route 89 - 89 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-01 20:52:24.000001,1990-01-01 02:00:00,1990-01-01 10:52:24,518.72949877,834.81587609,532.63375312,,,,,89,1,1422,Cunnamulla,145.6832,-28.06921,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
Route 81 - 81 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-01 13:09:44,1990-01-01 02:00:00,1990-01-01 03:09:44,57.90688467,93.19228379,69.64907313,,,,,81,1,1414,Beaudesert,152.9992,-27.98632,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
Route 78 - 78 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-01 13:14:20.000001,1990-01-01 02:00:00,1990-01-01 03:14:20,63.230934,101.76052777,74.18924904,,,,,78,1,1411,Mount Tamborine,153.2014,-27.97114,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
Route 8 - 8 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-01 12:29:14,1990-01-01 02:00:00,1990-01-01 02:29:14,17.9827641,28.94051139,29.23905691,,,,,8,1,1341,Samford,152.8849,-27.37146,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
Route 27 - 27 - Brighton Bain Injury Service,1990-01-01 12:00:00,1990-01-01 13:11:51,1990-01-01 02:00:00,1990-01-01 03:11:51.000001,62.86656587,101.17413292,71.71514464,,,,,27,1,1360,Brightview,152.4916,-27.51975,Brighton Bain Injury Service,"15 Nineteenth Ave, Brighton, QLD, 4017, AUS"
