RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
Route 416 - 416 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-02 07:44:55,1990-01-01 02:00:00,1990-01-01 21:44:55,1152.97798607,1855.5419151,1186.16595053,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 405 - 405 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-02 04:50:38,1990-01-01 02:00:00,1990-01-01 18:50:38,975.24152955,1569.50224314,1009.28977088,,,,,405,1,1075,El Arish,146.0048,-17.80559,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 399 - 399 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-02 06:21:26,1990-01-01 02:00:00,1990-01-01 20:21:26,1052.55331748,1693.92375401,1098.94614393,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 203 - 203 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 12:47:22,1990-01-01 02:00:00,1990-01-01 02:47:22,36.64337762,58.97191785,47.14548028,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 140 - 140 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 18:17:30.000001,1990-01-01 02:00:00,1990-01-01 08:17:30,354.04270889,569.77764885,377.9433413,,,,,140,1,1254,Injune,148.5651,-25.84311,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 139 - 139 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 20:11:30,1990-01-01 02:00:00,1990-01-01 10:11:30,464.89044276,748.17014106,491.39923302,,,,,139,1,1253,Augathella,146.5842,-25.79596,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 34 - 34 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 13:18:51,1990-01-01 02:00:00,1990-01-01 03:18:51,73.79836002,118.76718544,78.88916596,,,,,34,1,1367,Withcott,152.026,-27.55364,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 45 - 45 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 13:41:49,1990-01-01 02:00:00,1990-01-01 03:41:49,85.92984356,138.29095474,101.87119355,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 52 - 52 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 13:45:13,1990-01-01 02:00:00,1990-01-01 03:45:13,88.82462652,142.94966564,105.2339162,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 322 - 322 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 16:06:20,1990-01-01 02:00:00,1990-01-01 06:06:20,225.82080229,363.42408009,247.01389017,,,,,322,1,1214,Oakwood,152.298,-24.85082,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 221 - 221 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-02 01:41:07,1990-01-01 02:00:00,1990-01-01 15:41:07,792.07485679,1274.72346777,822.62935525,,,,,221,1,1113,Alva Beach,147.4799,-19.45506,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 184 - 184 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 13:10:42.000001,1990-01-01 02:00:00,1990-01-01 03:10:42,59.5753589,95.87743815,70.36327328,,,,,184,1,1298,Kiels Mountain,153.001,-26.6527,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 96 - 96 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 15:01:58,1990-01-01 02:00:00,1990-01-01 05:01:58,166.77166798,268.39352002,181.77870729,,,,,96,1,1429,Inglewood,151.0795,-28.41751,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 89 - 89 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 20:33:12,1990-01-01 02:00:00,1990-01-01 10:33:12.000001,502.42174174,808.57103268,513.40784007,,,,,89,1,1422,Cunnamulla,145.6832,-28.06921,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 81 - 81 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 13:02:22.000001,1990-01-01 02:00:00,1990-01-01 03:02:22,49.07695223,78.98185658,62.39976659,,,,,81,1,1414,Beaudesert,152.9992,-27.98632,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 78 - 78 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 13:01:17,1990-01-01 02:00:00,1990-01-01 03:01:17,50.49121396,81.25789475,61.29483006,,,,,78,1,1411,Mount Tamborine,153.2014,-27.97114,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 8 - 8 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 12:24:21,1990-01-01 02:00:00,1990-01-01 02:24:21,12.17616017,19.59566951,24.25341631,,,,,8,1,1341,Samford,152.8849,-27.37146,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 27 - 27 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 12:52:57,1990-01-01 02:00:00,1990-01-01 02:52:57,46.55880884,74.92928951,52.97706418,,,,,27,1,1360,Brightview,152.4916,-27.51975,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
Route 360 - 360 - Geriatric Assessment Rehabilitation Unit,1990-01-01 12:00:00,1990-01-02 07:54:39,1990-01-01 02:00:00,1990-01-01 21:54:39,1118.11613465,1799.43709147,1198.39613507,,,,,360,1,1030,Daintree,145.3306,-16.26079,Geriatric Assessment Rehabilitation Unit,"33 Cartwright St, Windsor,  QLD, 4030, AUS"
