RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
Route 416 - 416 - Prince Charles Hospital,1990-01-01 12:00:00,1990-01-02 07:39:37,1990-01-01 02:00:00,1990-01-01 21:39:37,1154.41403799,1857.85302126,1182.15884802,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Prince Charles Hospital,"627 Rode Rd, Chermside, QLD, 4032, AUS"
Route 405 - 405 - Prince Charles Hospital,1990-01-01 12:00:00,1990-01-02 04:43:38,1990-01-01 02:00:00,1990-01-01 18:43:38,971.62976129,1563.68965393,1003.1209954,,,,,405,1,1075,El Arish,146.0048,-17.80559,Prince Charles Hospital,"627 Rode Rd, Chermside, QLD, 4032, AUS"
Route 399 - 399 - Prince Charles Hospital,1990-01-01 12:00:00,1990-01-02 06:12:18.000001,1990-01-01 02:00:00,1990-01-01 20:12:18,1041.89017692,1676.76305841,1089.03568892,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Prince Charles Hospital,"627 Rode Rd, Chermside, QLD, 4032, AUS"
Route 203 - 203 - Prince Charles Hospital,1990-01-01 12:00:00,1990-01-01 12:38:12,1990-01-01 02:00:00,1990-01-01 02:38:12,33.03160935,53.15932864,38.23795152,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Prince Charles Hospital,"627 Rode Rd, Chermside, QLD, 4032, AUS"
Route 140 - 140 - Prince Charles Hospital,1990-01-01 12:00:00,1990-01-01 18:24:33,1990-01-01 02:00:00,1990-01-01 08:24:33,358.09121962,576.29310834,385.25646036,,,,,140,1,1254,Injune,148.5651,-25.84311,Prince Charles Hospital,"627 Rode Rd, Chermside, QLD, 4032, AUS"
Route 139 - 139 - Prince Charles Hospital,1990-01-01 12:00:00,1990-01-01 20:18:25,1990-01-01 02:00:00,1990-01-01 10:18:25,468.92833438,754.66851071,498.41385281,,,,,139,1,1253,Augathella,146.5842,-25.79596,Prince Charles Hospital,"627 Rode Rd, Chermside, QLD, 4032, AUS"
Route 34 - 34 - Prince Charles Hospital,1990-01-01 12:00:00,1990-01-01 13:26:18.000001,1990-01-01 02:00:00,1990-01-01 03:26:18,77.84687075,125.28264493,86.12236981,,,,,34,1,1367,Withcott,152.026,-27.55364,Prince Charles Hospital,"627 Rode Rd, Chermside, QLD, 4032, AUS"
Route 45 - 45 - Prince Charles Hospital,1990-01-01 12:00:00,1990-01-01 13:49:23.000001,1990-01-01 02:00:00,1990-01-01 03:49:23,89.9783543,144.80641424,109.14882774,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Prince Charles Hospital,"627 Rode Rd, Chermside, QLD, 4032, AUS"
Route 52 - 52 - Prince Charles Hospital,1990-01-01 12:00:00,1990-01-01 13:52:53,1990-01-01 02:00:00,1990-01-01 03:52:53,92.87313726,149.46512514,112.53743953,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Prince Charles Hospital,"627 Rode Rd, Chermside, QLD, 4032, AUS"
Route 322 - 322 - Prince Charles Hospital,1990-01-01 12:00:00,1990-01-01 15:56:11,1990-01-01 02:00:00,1990-01-01 05:56:11,222.20903402,357.61149088,236.60833375,,,,,322,1,1214,Oakwood,152.298,-24.85082,Prince Charles Hospital,"627 Rode Rd, Chermside, QLD, 4032, AUS"
