RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
"Route 416 - 416 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,05:50.0,1/01/1990 2:00,1/01/1990 22:05,1180.851767,1900.400507,1209.339187,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 405 - 405 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,2/01/1990 5:31,1/01/1990 2:00,31:46.0,1022.228211,1645.120128,1051.724879,,,,,405,1,1075,El Arish,146.0048,-17.80559,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 399 - 399 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,2/01/1990 7:04,1/01/1990 2:00,1/01/1990 21:04,1092.488631,1758.19354,1137.099394,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 203 - 203 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,1/01/1990 13:28,1/01/1990 2:00,28:18.0,83.63007763,134.5898328,87.98583004,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 140 - 140 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,1/01/1990 18:43,1/01/1990 2:00,1/01/1990 8:43,381.9164899,614.6362407,403.248654,,,,,140,1,1254,Injune,148.5651,-25.84311,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 139 - 139 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,1/01/1990 20:37,1/01/1990 2:00,1/01/1990 10:37,492.7642237,793.0287329,517.2821392,,,,,139,1,1253,Augathella,146.5842,-25.79596,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 34 - 34 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,1/01/1990 13:44,1/01/1990 2:00,1/01/1990 3:44,101.6721599,163.6258078,104.5292342,,,,,34,1,1367,Withcott,152.026,-27.55364,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 45 - 45 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,1/01/1990 14:07,1/01/1990 2:00,1/01/1990 4:07,113.8036435,183.1495771,127.5202931,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 52 - 52 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,1/01/1990 14:10,1/01/1990 2:00,1/01/1990 4:10,116.6984264,187.808288,130.8815926,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 322 - 322 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,1/01/1990 16:48,1/01/1990 2:00,1/01/1990 6:48,272.8074881,439.0419722,290.35158,,,,,322,1,1214,Oakwood,152.298,-24.85082,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 221 - 221 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,2/01/1990 2:23,1/01/1990 2:00,23:34.0,839.0615426,1350.34136,865.0495415,,,,,221,1,1113,Alva Beach,147.4799,-19.45506,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 184 - 184 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,1/01/1990 13:51,1/01/1990 2:00,1/01/1990 3:51,106.5620589,171.4953531,111.2168594,,,,,184,1,1298,Kiels Mountain,153.001,-26.6527,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 96 - 96 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,1/01/1990 15:27,1/01/1990 2:00,1/01/1990 5:27,194.6454679,313.2521424,207.5274042,,,,,96,1,1429,Inglewood,151.0795,-28.41751,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 89 - 89 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,1/01/1990 20:59,1/01/1990 2:00,59:20.0,530.2955227,853.4296245,539.3837996,,,,,89,1,1422,Cunnamulla,145.6832,-28.06921,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 81 - 81 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,1/01/1990 12:57,1/01/1990 2:00,1/01/1990 2:57,42.63714583,68.61797206,58.07224294,,,,,81,1,1414,Beaudesert,152.9992,-27.98632,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 78 - 78 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,1/01/1990 12:29,1/01/1990 2:00,1/01/1990 2:29,18.08755876,29.10916239,29.05278576,,,,,78,1,1411,Mount Tamborine,153.2014,-27.97114,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 8 - 8 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,1/01/1990 13:14,1/01/1990 2:00,1/01/1990 3:14,58.18194785,93.63495595,73.81899039,,,,,8,1,1341,Samford,152.8849,-27.37146,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 27 - 27 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,18:38.0,1/01/1990 2:00,1/01/1990 3:18,74.43260876,119.7879119,78.62473513,,,,,27,1,1360,Brightview,152.4916,-27.51975,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 360 - 360 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,2/01/1990 8:33,1/01/1990 2:00,1/01/1990 22:33,1165.102839,1875.055014,1238.195119,,,,,360,1,1030,Daintree,145.3306,-16.26079,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
"Route 324 - 324 - 1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS",1/01/1990 12:00,1/01/1990 16:43,1/01/1990 2:00,1/01/1990 6:43,268.4640471,432.0518675,285.596358,,,,,324,1,1216,Bundaberg,152.3444,-24.87052,Gold Coast University Hospital,"1 Hospital Blvd, Southport, Gold Coast, Queensland, 4215, AUS"
