RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
Route 416 - 416 - Gympie Hospital,1990-01-01 12:00:00,1990-01-02 05:44:37,1990-01-01 02:00:00,1990-01-01 19:44:37,1050.31111458,1690.31527101,1065.12737516,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 405 - 405 - Gympie Hospital,1990-01-01 12:00:00,1990-01-02 03:04:20,1990-01-01 02:00:00,1990-01-01 17:04:20,874.51613575,1407.40011078,906.06304198,,,,,405,1,1075,El Arish,146.0048,-17.80559,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 399 - 399 - Gympie Hospital,1990-01-01 12:00:00,1990-01-02 04:26:37,1990-01-01 02:00:00,1990-01-01 18:26:37,944.77655139,1520.47351526,987.53148124,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 203 - 203 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 13:13:15,1990-01-01 02:00:00,1990-01-01 03:13:15,68.80273917,110.72749693,73.3886647,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 140 - 140 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 18:53:54,1990-01-01 02:00:00,1990-01-01 08:53:54,375.82233577,604.8286308,414.61204124,,,,,140,1,1254,Injune,148.5651,-25.84311,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 139 - 139 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 20:46:12,1990-01-01 02:00:00,1990-01-01 10:46:12.000001,486.67006965,783.22112301,527.08283112,,,,,139,1,1253,Augathella,146.5842,-25.79596,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 34 - 34 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 15:07:36,1990-01-01 02:00:00,1990-01-01 05:07:36,174.67789982,281.11739225,187.08827808,,,,,34,1,1367,Withcott,152.026,-27.55364,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 45 - 45 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 15:21:15,1990-01-01 02:00:00,1990-01-01 05:21:15.000001,176.00713569,283.25659429,201.53883804,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 52 - 52 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 15:24:38,1990-01-01 02:00:00,1990-01-01 05:24:38,178.90191865,287.91530519,204.9144481,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 322 - 322 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 14:15:35,1990-01-01 02:00:00,1990-01-01 04:15:35,125.09540849,201.32194772,135.7129896,,,,,322,1,1214,Oakwood,152.298,-24.85082,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
