RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
Route 416 - 416 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-02 00:14:43,1990-01-01 02:00:00,1990-01-01 14:14:43,708.62751735,1140.42772415,735.39453358,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Central West Sub-Acute Service,Jabiru St
Route 405 - 405 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 22:44:17,1990-01-01 02:00:00,1990-01-01 12:44:17,619.38943602,996.81266615,645.95792631,,,,,405,1,1075,El Arish,146.0048,-17.80559,Central West Sub-Acute Service,Jabiru St
Route 399 - 399 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 23:53:43,1990-01-01 02:00:00,1990-01-01 13:53:43,689.39183559,1109.4708332,714.35537975,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Central West Sub-Acute Service,Jabiru St
Route 203 - 203 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-02 01:05:13,1990-01-01 02:00:00,1990-01-01 15:05:13.000001,777.61307028,1251.44943187,786.07697351,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Central West Sub-Acute Service,Jabiru St
Route 140 - 140 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 19:35:06,1990-01-01 02:00:00,1990-01-01 09:35:06,451.26312652,726.23905757,457.86095686,,,,,140,1,1254,Injune,148.5651,-25.84311,Central West Sub-Acute Service,Jabiru St
Route 139 - 139 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 16:28:51,1990-01-01 02:00:00,1990-01-01 06:28:51,268.10611708,431.47583383,268.84310485,,,,,139,1,1253,Augathella,146.5842,-25.79596,Central West Sub-Acute Service,Jabiru St
Route 34 - 34 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 23:19:20,1990-01-01 02:00:00,1990-01-01 13:19:20,658.36772623,1059.54226908,681.15379275,,,,,34,1,1367,Withcott,152.026,-27.55364,Central West Sub-Acute Service,Jabiru St
Route 45 - 45 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 23:05:58.000001,1990-01-01 02:00:00,1990-01-01 13:05:58,653.76674083,1052.13768603,667.30721597,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Central West Sub-Acute Service,Jabiru St
Route 52 - 52 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 23:11:16,1990-01-01 02:00:00,1990-01-01 13:11:16,661.92296834,1065.26388808,672.76274091,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Central West Sub-Acute Service,Jabiru St
Route 322 - 322 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 21:57:08,1990-01-01 02:00:00,1990-01-01 11:57:08,595.407768,958.21783543,598.68357425,,,,,322,1,1214,Oakwood,152.298,-24.85082,Central West Sub-Acute Service,Jabiru St
Route 221 - 221 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 20:54:12,1990-01-01 02:00:00,1990-01-01 10:54:12,509.11859551,819.34859566,538.3139991,,,,,221,1,1113,Alva Beach,147.4799,-19.45506,Central West Sub-Acute Service,Jabiru St
Route 184 - 184 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-02 00:44:51,1990-01-01 02:00:00,1990-01-01 14:44:51,757.182027,1218.5687892,765.57774259,,,,,184,1,1298,Kiels Mountain,153.001,-26.6527,Central West Sub-Acute Service,Jabiru St
Route 96 - 96 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 23:56:54,1990-01-01 02:00:00,1990-01-01 13:56:54,716.40543167,1152.94508891,720.06274236,,,,,96,1,1429,Inglewood,151.0795,-28.41751,Central West Sub-Acute Service,Jabiru St
Route 89 - 89 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 19:21:33.000001,1990-01-01 02:00:00,1990-01-01 09:21:33,442.51590048,712.16173366,443.50294715,,,,,89,1,1422,Cunnamulla,145.6832,-28.06921,Central West Sub-Acute Service,Jabiru St
Route 81 - 81 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-02 00:48:32,1990-01-01 02:00:00,1990-01-01 14:48:32,751.92705504,1210.1117147,770.7166055,,,,,81,1,1414,Beaudesert,152.9992,-27.98632,Central West Sub-Acute Service,Jabiru St
Route 78 - 78 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-02 01:00:18,1990-01-01 02:00:00,1990-01-01 15:00:18,765.0879641,1231.29218708,782.10978436,,,,,78,1,1411,Mount Tamborine,153.2014,-27.97114,Central West Sub-Acute Service,Jabiru St
Route 8 - 8 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-02 00:47:05.000001,1990-01-01 02:00:00,1990-01-01 14:47:05,742.56549273,1195.04571043,769.14293773,,,,,8,1,1341,Samford,152.8849,-27.37146,Central West Sub-Acute Service,Jabiru St
Route 27 - 27 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 23:42:57,1990-01-01 02:00:00,1990-01-01 13:42:57,691.76263155,1113.28626708,706.00736706,,,,,27,1,1360,Brightview,152.4916,-27.51975,Central West Sub-Acute Service,Jabiru St
Route 360 - 360 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-02 01:42:21,1990-01-01 02:00:00,1990-01-01 15:42:21,762.26404111,1226.74751447,822.64549594,,,,,360,1,1030,Daintree,145.3306,-16.26079,Central West Sub-Acute Service,Jabiru St
Route 324 - 324 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 22:04:48,1990-01-01 02:00:00,1990-01-01 12:04:48,599.40994979,964.65873555,606.27413298,,,,,324,1,1216,Bundaberg,152.3444,-24.87052,Central West Sub-Acute Service,Jabiru St
Route 311 - 311 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 19:10:48,1990-01-01 02:00:00,1990-01-01 09:10:48,425.23251137,684.34675947,432.41220008,,,,,311,1,1203,Taylors Creek,149.1545,-24.25325,Central West Sub-Acute Service,Jabiru St
Route 250 - 250 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 20:30:36,1990-01-01 02:00:00,1990-01-01 10:30:36.000001,507.2887818,816.40379006,514.66443572,,,,,250,1,1142,Nindaroo,149.1636,-21.05945,Central West Sub-Acute Service,Jabiru St
Route 126 - 126 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 21:06:30,1990-01-01 02:00:00,1990-01-01 11:06:30,549.10849064,883.70622217,549.06023425,,,,,126,1,1240,Eidsvold,151.1221,-25.37064,Central West Sub-Acute Service,Jabiru St
Route 1 - 1 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-02 01:06:07,1990-01-01 02:00:00,1990-01-01 15:06:07.000001,757.67993072,1219.37008916,787.38729894,,,,,1,1,1334,Dayboro,152.8215,-27.19792,Central West Sub-Acute Service,Jabiru St
Route 18 - 18 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 23:19:08,1990-01-01 02:00:00,1990-01-01 13:19:08,663.85412826,1068.37179493,680.99368681,,,,,18,1,1351,Murphys Creek,152.0567,-27.46123,Central West Sub-Acute Service,Jabiru St
Route 312 - 312 - Central West Sub-Acute Service,1990-01-01 12:00:00,1990-01-01 20:45:43,1990-01-01 02:00:00,1990-01-01 10:45:43,525.81501365,846.21892977,529.37119028,,,,,312,1,1204,Miriam Vale,151.5583,-24.328,Central West Sub-Acute Service,Jabiru St
