RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
Route 416 - 416 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-02 07:41:29,1990-01-01 02:00:00,1990-01-01 21:41:29,1149.09421882,1849.29158508,1182.58553867,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 405 - 405 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-02 04:54:26,1990-01-01 02:00:00,1990-01-01 18:54:26.000001,979.50025818,1576.35601622,1013.66796843,,,,,405,1,1075,El Arish,146.0048,-17.80559,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 399 - 399 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-02 06:23:21,1990-01-01 02:00:00,1990-01-01 20:23:21,1055.38347643,1698.47846245,1101.35521586,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 203 - 203 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 12:50:54,1990-01-01 02:00:00,1990-01-01 02:50:54,40.90210625,65.82569093,50.73171927,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 140 - 140 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 18:14:47,1990-01-01 02:00:00,1990-01-01 08:14:47,350.15894164,563.52731884,375.55593746,,,,,140,1,1254,Injune,148.5651,-25.84311,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 139 - 139 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 20:08:28,1990-01-01 02:00:00,1990-01-01 10:08:28,461.00667552,741.91981104,488.48353991,,,,,139,1,1253,Augathella,146.5842,-25.79596,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 34 - 34 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 13:16:43,1990-01-01 02:00:00,1990-01-01 03:16:43,69.91459277,112.51685543,76.63585619,,,,,34,1,1367,Withcott,152.026,-27.55364,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 45 - 45 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 13:39:45,1990-01-01 02:00:00,1990-01-01 03:39:45,82.04607632,132.04062473,99.63518723,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 52 - 52 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 13:43:09.000001,1990-01-01 02:00:00,1990-01-01 03:43:09,84.94085928,136.69933563,103.00072181,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 322 - 322 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 16:09:32,1990-01-01 02:00:00,1990-01-01 06:09:32,235.70233353,379.32689491,249.87034168,,,,,322,1,1214,Oakwood,152.298,-24.85082,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 221 - 221 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-02 01:45:35,1990-01-01 02:00:00,1990-01-01 15:45:35,796.33358542,1281.57724084,827.0868084,,,,,221,1,1113,Alva Beach,147.4799,-19.45506,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
