RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
Route 416 - 416 - Logan Hospital,1990-01-01 12:00:00,1990-01-02 07:37:05,1990-01-01 02:00:00,1990-01-01 21:37:05,1153.68450221,1856.67894489,1177.24313369,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 405 - 405 - Logan Hospital,1990-01-01 12:00:00,1990-01-02 05:05:03,1990-01-01 02:00:00,1990-01-01 19:05:03,994.97390223,1601.25848222,1025.4496653,,,,,405,1,1075,El Arish,146.0048,-17.80559,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 399 - 399 - Logan Hospital,1990-01-01 12:00:00,1990-01-02 06:32:16,1990-01-01 02:00:00,1990-01-01 20:32:16,1065.23431786,1714.33188671,1109.78049484,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 203 - 203 - Logan Hospital,1990-01-01 12:00:00,1990-01-01 13:01:14,1990-01-01 02:00:00,1990-01-01 03:01:14,56.37575503,90.72816456,60.93805548,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 140 - 140 - Logan Hospital,1990-01-01 12:00:00,1990-01-01 18:16:47.000001,1990-01-01 02:00:00,1990-01-01 08:16:47,354.92442147,571.19663054,376.80864409,,,,,140,1,1254,Injune,148.5651,-25.84311,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 139 - 139 - Logan Hospital,1990-01-01 12:00:00,1990-01-01 20:11:20,1990-01-01 02:00:00,1990-01-01 10:11:20,465.77216483,749.58913801,490.99349604,,,,,139,1,1253,Augathella,146.5842,-25.79596,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 34 - 34 - Logan Hospital,1990-01-01 12:00:00,1990-01-01 13:17:54,1990-01-01 02:00:00,1990-01-01 03:17:54,74.68012475,120.18625106,77.93313936,,,,,34,1,1367,Withcott,152.026,-27.55364,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 45 - 45 - Logan Hospital,1990-01-01 12:00:00,1990-01-01 13:40:49,1990-01-01 02:00:00,1990-01-01 03:40:49,86.8116083,139.71002036,100.91804465,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 52 - 52 - Logan Hospital,1990-01-01 12:00:00,1990-01-01 13:44:14,1990-01-01 02:00:00,1990-01-01 03:44:14,89.70639125,144.36873126,104.28260785,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 322 - 322 - Logan Hospital,1990-01-01 12:00:00,1990-01-01 16:20:56,1990-01-01 02:00:00,1990-01-01 06:20:56,245.55862674,395.18909297,262.50839238,,,,,322,1,1214,Oakwood,152.298,-24.85082,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 221 - 221 - Logan Hospital,1990-01-01 12:00:00,1990-01-02 01:57:23,1990-01-01 02:00:00,1990-01-01 15:57:23,811.80722946,1306.47970685,838.8772524,,,,,221,1,1113,Alva Beach,147.4799,-19.45506,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 184 - 184 - Logan Hospital,1990-01-01 12:00:00,1990-01-01 13:24:41,1990-01-01 02:00:00,1990-01-01 03:24:41,79.30773158,127.63367723,84.16602915,,,,,184,1,1298,Kiels Mountain,153.001,-26.6527,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 96 - 96 - Logan Hospital,1990-01-01 12:00:00,1990-01-01 15:00:46,1990-01-01 02:00:00,1990-01-01 05:00:46.000001,167.65338056,269.81250172,180.76444037,,,,,96,1,1429,Inglewood,151.0795,-28.41751,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 89 - 89 - Logan Hospital,1990-01-01 12:00:00,1990-01-01 20:33:06,1990-01-01 02:00:00,1990-01-01 10:33:06,503.30346381,809.99002964,513.09783309,,,,,89,1,1422,Cunnamulla,145.6832,-28.06921,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 81 - 81 - Logan Hospital,1990-01-01 12:00:00,1990-01-01 12:44:41,1990-01-01 02:00:00,1990-01-01 02:44:41,31.84248521,51.24561501,44.69624453,,,,,81,1,1414,Beaudesert,152.9992,-27.98632,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 78 - 78 - Logan Hospital,1990-01-01 12:00:00,1990-01-01 12:42:40,1990-01-01 02:00:00,1990-01-01 02:42:40,34.29047242,55.18527641,42.69622861,,,,,78,1,1411,Mount Tamborine,153.2014,-27.97114,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 8 - 8 - Logan Hospital,1990-01-01 12:00:00,1990-01-01 12:47:19,1990-01-01 02:00:00,1990-01-01 02:47:19,30.92762051,49.77328005,46.7703488,,,,,8,1,1341,Samford,152.8849,-27.37146,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 27 - 27 - Logan Hospital,1990-01-01 12:00:00,1990-01-01 12:52:01,1990-01-01 02:00:00,1990-01-01 02:52:01,47.44052143,76.34827121,52.0289287,,,,,27,1,1360,Brightview,152.4916,-27.51975,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
Route 360 - 360 - Logan Hospital,1990-01-01 12:00:00,1990-01-02 08:05:50.000001,1990-01-01 02:00:00,1990-01-01 22:05:50,1137.84850258,1831.19332292,1207.93075899,,,,,360,1,1030,Daintree,145.3306,-16.26079,Logan Hospital,"Loganlea Rd, Meadowbrook, Brisbane, Queensland, 4131"
