RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
Route 416 - 416 - Maleny Hospital,1990-01-01 12:00:00,1990-01-02 07:12:23,1990-01-01 02:00:00,1990-01-01 21:12:23,1125.76457025,1811.74608003,1151.4964479,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 405 - 405 - Maleny Hospital,1990-01-01 12:00:00,1990-01-02 04:18:11,1990-01-01 02:00:00,1990-01-01 18:18:11,942.98029355,1517.58271271,979.54197048,,,,,405,1,1075,El Arish,146.0048,-17.80559,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 399 - 399 - Maleny Hospital,1990-01-01 12:00:00,1990-01-02 05:41:18,1990-01-01 02:00:00,1990-01-01 19:41:18,1013.24070918,1630.65611719,1061.59578376,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 203 - 203 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 12:27:34,1990-01-01 02:00:00,1990-01-01 02:27:34,18.61139093,29.95219022,27.68380076,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 140 - 140 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 19:23:37,1990-01-01 02:00:00,1990-01-01 09:23:37,396.24679142,637.6986717,444.86847586,,,,,140,1,1254,Injune,148.5651,-25.84311,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 139 - 139 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 21:16:18,1990-01-01 02:00:00,1990-01-01 11:16:18,507.0945253,816.0911639,557.08004366,,,,,139,1,1253,Augathella,146.5842,-25.79596,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 34 - 34 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 14:28:23,1990-01-01 02:00:00,1990-01-01 04:28:23,128.4574465,206.73263425,147.79652021,,,,,34,1,1367,Withcott,152.026,-27.55364,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 45 - 45 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 14:51:54,1990-01-01 02:00:00,1990-01-01 04:51:54,140.58893005,226.25640356,170.89201379,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 52 - 52 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 14:55:27.000001,1990-01-01 02:00:00,1990-01-01 04:55:27,143.48371301,230.91511446,174.29454337,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 322 - 322 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 15:31:56.000001,1990-01-01 02:00:00,1990-01-01 05:31:56,193.55956629,311.50454965,212.28425809,,,,,322,1,1214,Oakwood,152.298,-24.85082,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 221 - 221 - Maleny Hospital,1990-01-01 12:00:00,1990-01-02 01:11:25.000001,1990-01-01 02:00:00,1990-01-01 15:11:25,759.81362078,1222.80393733,792.92009269,,,,,221,1,1113,Alva Beach,147.4799,-19.45506,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 184 - 184 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 12:34:15,1990-01-01 02:00:00,1990-01-01 02:34:15.000001,19.37924021,31.18792633,34.40017272,,,,,184,1,1298,Kiels Mountain,153.001,-26.6527,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 96 - 96 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 16:14:35,1990-01-01 02:00:00,1990-01-01 06:14:35,221.43075447,356.35896883,252.5619735,,,,,96,1,1429,Inglewood,151.0795,-28.41751,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 89 - 89 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 21:37:35,1990-01-01 02:00:00,1990-01-01 11:37:35,544.62582428,876.49205553,578.82659382,,,,,89,1,1422,Cunnamulla,145.6832,-28.06921,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 81 - 81 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 14:01:40,1990-01-01 02:00:00,1990-01-01 04:01:40,101.87662688,163.95486612,121.51497269,,,,,81,1,1414,Beaudesert,152.9992,-27.98632,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 78 - 78 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 14:06:14.000001,1990-01-01 02:00:00,1990-01-01 04:06:14,107.20067621,172.5231101,126.03935754,,,,,78,1,1411,Mount Tamborine,153.2014,-27.97114,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 8 - 8 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 13:15:13,1990-01-01 02:00:00,1990-01-01 03:15:13,58.88858339,94.77217789,75.40534455,,,,,8,1,1341,Samford,152.8849,-27.37146,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 27 - 27 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 13:54:57,1990-01-01 02:00:00,1990-01-01 03:54:57,98.0070575,157.72738539,115.29830083,,,,,27,1,1360,Brightview,152.4916,-27.51975,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 360 - 360 - Maleny Hospital,1990-01-01 12:00:00,1990-01-02 07:17:55.000001,1990-01-01 02:00:00,1990-01-01 21:17:55,1085.85490338,1747.51756866,1157.15557269,,,,,360,1,1030,Daintree,145.3306,-16.26079,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 324 - 324 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 15:27:16,1990-01-01 02:00:00,1990-01-01 05:27:16,189.21612528,304.51444496,207.58517675,,,,,324,1,1216,Bundaberg,152.3444,-24.87052,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 311 - 311 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 19:42:23,1990-01-01 02:00:00,1990-01-01 09:42:23,424.25952802,682.78089142,462.3800492,,,,,311,1,1203,Taylors Creek,149.1545,-24.25325,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 250 - 250 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 22:07:34.000001,1990-01-01 02:00:00,1990-01-01 12:07:34,569.10997916,915.89556209,608.53389135,,,,,250,1,1142,Nindaroo,149.1636,-21.05945,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 126 - 126 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 15:51:00,1990-01-01 02:00:00,1990-01-01 05:51:00,211.20866002,339.90806957,231.45352863,,,,,126,1,1240,Eidsvold,151.1221,-25.37064,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 1 - 1 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 13:08:54,1990-01-01 02:00:00,1990-01-01 03:08:54,52.2395332,84.07154747,69.17289599,,,,,1,1,1334,Dayboro,152.8215,-27.19792,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 18 - 18 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 14:32:12,1990-01-01 02:00:00,1990-01-01 04:32:12,130.96299175,210.76492652,151.5208879,,,,,18,1,1351,Murphys Creek,152.0567,-27.46123,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 312 - 312 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 16:29:17,1990-01-01 02:00:00,1990-01-01 06:29:17,252.1933709,405.86670002,269.76676149,,,,,312,1,1204,Miriam Vale,151.5583,-24.328,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 258 - 258 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 21:49:28,1990-01-01 02:00:00,1990-01-01 11:49:28,555.71090638,894.33180158,590.11145473,,,,,258,1,1150,Bakers Creek,149.1521,-21.20776,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 214 - 214 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 12:53:07,1990-01-01 02:00:00,1990-01-01 02:53:07.000001,38.60293075,62.12551923,53.33072983,,,,,214,1,1328,Sandstone Point,153.1273,-27.08295,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 5 - 5 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 14:16:49,1990-01-01 02:00:00,1990-01-01 04:16:49,116.78507392,187.94773389,137.20024364,,,,,5,1,1338,Goombungee,151.8502,-27.30485,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 415 - 415 - Maleny Hospital,1990-01-01 12:00:00,1990-01-02 03:40:13,1990-01-01 02:00:00,1990-01-01 17:40:13,906.19747679,1458.38638886,941.4872116,,,,,415,1,1085,Cardwell,146.0227,-18.26396,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 345 - 345 - Maleny Hospital,1990-01-01 12:00:00,1990-01-02 17:39:37,1990-01-01 02:00:00,1990-01-02 07:39:37,1628.37723494,2620.62437404,1781.13852775,,,,,345,1,1015,New Mapoon,142.3863,-10.87403,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 168 - 168 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 12:51:48,1990-01-01 02:00:00,1990-01-01 02:51:48,43.18257328,69.4957542,52.02302589,,,,,168,1,1282,Cooroy,152.9089,-26.41875,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 160 - 160 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 13:05:26,1990-01-01 02:00:00,1990-01-01 03:05:26,53.78732401,86.5624803,65.70183821,,,,,160,1,1274,Cooran,152.8222,-26.33805,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 100 - 100 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 15:46:40,1990-01-01 02:00:00,1990-01-01 05:46:40,191.63443394,308.40634326,224.32252612,,,,,100,1,1433,Stanthorpe,151.9327,-28.65779,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
Route 3 - 3 - Maleny Hospital,1990-01-01 12:00:00,1990-01-01 14:06:18,1990-01-01 02:00:00,1990-01-01 04:06:18,106.8199921,171.91045719,126.69438051,,,,,3,1,1336,Crows Nest,152.0506,-27.26153,Maleny Hospital,"17 Bean St, Maleny, QLD, 4552, AUS"
