RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
Route 416 - 416 - RBWH,1990-01-01 12:00:00,1990-01-02 07:43:00,1990-01-01 02:00:00,1990-01-01 21:43:00,1151.89171361,1853.79372554,1184.41520072,,,,,416,1,1086,Georgetown,143.5479,-18.29241,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 405 - 405 - RBWH,1990-01-01 12:00:00,1990-01-02 04:51:23,1990-01-01 02:00:00,1990-01-01 18:51:23.000001,976.31560708,1571.23080683,1010.58216535,,,,,405,1,1075,El Arish,146.0048,-17.80559,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 399 - 399 - RBWH,1990-01-01 12:00:00,1990-01-02 06:20:51,1990-01-01 02:00:00,1990-01-01 20:20:51,1052.19883007,1693.35326069,1098.35821508,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 203 - 203 - RBWH,1990-01-01 12:00:00,1990-01-01 12:48:11,1990-01-01 02:00:00,1990-01-01 02:48:11,37.71745988,60.70048916,48.0881701,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 140 - 140 - RBWH,1990-01-01 12:00:00,1990-01-01 18:15:41,1990-01-01 02:00:00,1990-01-01 08:15:41,352.95643643,568.0294593,376.00331471,,,,,140,1,1254,Injune,148.5651,-25.84311,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 139 - 139 - RBWH,1990-01-01 12:00:00,1990-01-01 20:09:44.000001,1990-01-01 02:00:00,1990-01-01 10:09:44,463.80417031,746.4219515,489.61484741,,,,,139,1,1253,Augathella,146.5842,-25.79596,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 34 - 34 - RBWH,1990-01-01 12:00:00,1990-01-01 13:16:55,1990-01-01 02:00:00,1990-01-01 03:16:55.000001,72.71208756,117.01899589,76.98096723,,,,,34,1,1367,Withcott,152.026,-27.55364,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 45 - 45 - RBWH,1990-01-01 12:00:00,1990-01-01 13:39:52,1990-01-01 02:00:00,1990-01-01 03:39:52.000001,84.84357111,136.54276519,99.95938705,,,,,45,1,1378,Westbrook,151.8757,-27.60355,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 52 - 52 - RBWH,1990-01-01 12:00:00,1990-01-01 13:43:16,1990-01-01 02:00:00,1990-01-01 03:43:16,87.73835407,141.20147609,103.32210969,,,,,52,1,1385,Wyreema,151.8542,-27.65743,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 322 - 322 - RBWH,1990-01-01 12:00:00,1990-01-01 16:06:34,1990-01-01 02:00:00,1990-01-01 06:06:34,227.64001935,366.351832,247.12783167,,,,,322,1,1214,Oakwood,152.298,-24.85082,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 221 - 221 - RBWH,1990-01-01 12:00:00,1990-01-02 01:42:30,1990-01-01 02:00:00,1990-01-01 15:42:30,793.14893906,1276.45203908,824.005018,,,,,221,1,1113,Alva Beach,147.4799,-19.45506,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 184 - 184 - RBWH,1990-01-01 12:00:00,1990-01-01 13:11:26,1990-01-01 02:00:00,1990-01-01 03:11:26,60.64944117,97.60600947,71.26661524,,,,,184,1,1298,Kiels Mountain,153.001,-26.6527,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 96 - 96 - RBWH,1990-01-01 12:00:00,1990-01-01 14:59:54,1990-01-01 02:00:00,1990-01-01 04:59:54,165.68539553,266.64533047,179.7947449,,,,,96,1,1429,Inglewood,151.0795,-28.41751,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 89 - 89 - RBWH,1990-01-01 12:00:00,1990-01-01 20:31:29,1990-01-01 02:00:00,1990-01-01 10:31:29,501.33546929,806.82284313,511.6385291,,,,,89,1,1422,Cunnamulla,145.6832,-28.06921,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 81 - 81 - RBWH,1990-01-01 12:00:00,1990-01-01 13:00:26,1990-01-01 02:00:00,1990-01-01 03:00:26,47.99067978,77.23366702,60.50225167,,,,,81,1,1414,Beaudesert,152.9992,-27.98632,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 78 - 78 - RBWH,1990-01-01 12:00:00,1990-01-01 13:02:05,1990-01-01 02:00:00,1990-01-01 03:02:05.000001,50.60867038,81.44692291,62.168036,,,,,78,1,1411,Mount Tamborine,153.2014,-27.97114,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 8 - 8 - RBWH,1990-01-01 12:00:00,1990-01-01 12:23:51,1990-01-01 02:00:00,1990-01-01 02:23:51.000001,12.16184949,19.57263865,23.7822078,,,,,8,1,1341,Samford,152.8849,-27.37146,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 27 - 27 - RBWH,1990-01-01 12:00:00,1990-01-01 12:51:03,1990-01-01 02:00:00,1990-01-01 02:51:03,45.47253639,73.18109996,51.08469669,,,,,27,1,1360,Brightview,152.4916,-27.51975,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 360 - 360 - RBWH,1990-01-01 12:00:00,1990-01-02 07:54:40,1990-01-01 02:00:00,1990-01-01 21:54:40,1124.81301953,1810.21470453,1196.54522736,,,,,360,1,1030,Daintree,145.3306,-16.26079,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 324 - 324 - RBWH,1990-01-01 12:00:00,1990-01-01 16:01:54,1990-01-01 02:00:00,1990-01-01 06:01:54.000001,223.29657835,359.36172731,242.41917249,,,,,324,1,1216,Bundaberg,152.3444,-24.87052,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 311 - 311 - RBWH,1990-01-01 12:00:00,1990-01-01 20:10:30,1990-01-01 02:00:00,1990-01-01 10:10:30,456.13044658,734.07226557,490.5275191,,,,,311,1,1203,Taylors Creek,149.1545,-24.25325,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 250 - 250 - RBWH,1990-01-01 12:00:00,1990-01-01 22:38:49,1990-01-01 02:00:00,1990-01-01 12:38:49,607.40179796,977.52039418,639.89104891,,,,,250,1,1142,Nindaroo,149.1636,-21.05945,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 126 - 126 - RBWH,1990-01-01 12:00:00,1990-01-01 16:25:33,1990-01-01 02:00:00,1990-01-01 06:25:33,245.28911309,394.75535193,266.26478306,,,,,126,1,1240,Eidsvold,151.1221,-25.37064,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 1 - 1 - RBWH,1990-01-01 12:00:00,1990-01-01 12:42:51,1990-01-01 02:00:00,1990-01-01 02:42:51,26.75381752,43.05618181,42.78579163,,,,,1,1,1334,Dayboro,152.8215,-27.19792,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 18 - 18 - RBWH,1990-01-01 12:00:00,1990-01-01 13:20:38,1990-01-01 02:00:00,1990-01-01 03:20:38,75.21763281,121.05128815,80.70145558,,,,,18,1,1351,Murphys Creek,152.0567,-27.46123,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 312 - 312 - RBWH,1990-01-01 12:00:00,1990-01-01 17:02:56,1990-01-01 02:00:00,1990-01-01 07:02:56,285.52868443,459.51479414,304.56348,,,,,312,1,1204,Miriam Vale,151.5583,-24.328,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 258 - 258 - RBWH,1990-01-01 12:00:00,1990-01-01 22:20:43,1990-01-01 02:00:00,1990-01-01 12:20:43,594.00272045,955.95662605,621.51844967,,,,,258,1,1150,Bakers Creek,149.1521,-21.20776,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 214 - 214 - RBWH,1990-01-01 12:00:00,1990-01-01 12:52:20,1990-01-01 02:00:00,1990-01-01 02:52:20,37.49011379,60.33461036,52.25001036,,,,,214,1,1328,Sandstone Point,153.1273,-27.08295,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 5 - 5 - RBWH,1990-01-01 12:00:00,1990-01-01 13:52:09,1990-01-01 02:00:00,1990-01-01 03:52:09,103.39624673,166.4004621,112.21015888,,,,,5,1,1338,Goombungee,151.8502,-27.30485,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 415 - 415 - RBWH,1990-01-01 12:00:00,1990-01-02 04:11:23,1990-01-01 02:00:00,1990-01-01 18:11:23,939.53279506,1512.0344906,972.5233807,,,,,415,1,1085,Cardwell,146.0227,-18.26396,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 345 - 345 - RBWH,1990-01-01 12:00:00,1990-01-02 18:12:13,1990-01-01 02:00:00,1990-01-02 08:12:13,1661.71253425,2674.27244527,1814.73790325,,,,,345,1,1015,New Mapoon,142.3863,-10.87403,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 168 - 168 - RBWH,1990-01-01 12:00:00,1990-01-01 13:25:43.000001,1990-01-01 02:00:00,1990-01-01 03:25:43,76.51788207,123.14384069,85.46381373,,,,,168,1,1282,Cooroy,152.9089,-26.41875,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 160 - 160 - RBWH,1990-01-01 12:00:00,1990-01-01 13:39:29,1990-01-01 02:00:00,1990-01-01 03:39:29,87.12264229,140.21058205,99.18306871,,,,,160,1,1274,Cooran,152.8222,-26.33805,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 100 - 100 - RBWH,1990-01-01 12:00:00,1990-01-01 14:32:31,1990-01-01 02:00:00,1990-01-01 04:32:31,135.889075,218.6927049,152.47531549,,,,,100,1,1433,Stanthorpe,151.9327,-28.65779,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 3 - 3 - RBWH,1990-01-01 12:00:00,1990-01-01 13:52:31,1990-01-01 02:00:00,1990-01-01 03:52:31,98.31332691,158.22027922,112.55683336,,,,,3,1,1336,Crows Nest,152.0506,-27.26153,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 435 - 435 - RBWH,1990-01-01 12:00:00,1990-01-02 02:50:54,1990-01-01 02:00:00,1990-01-01 16:50:54,860.32124968,1384.55561036,892.4744186,,,,,435,1,1105,Bluewater Park,146.5138,-19.20308,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 281 - 281 - RBWH,1990-01-01 12:00:00,1990-01-01 19:24:39,1990-01-01 02:00:00,1990-01-01 09:24:39,417.79600502,672.37883866,445.48967159,,,,,281,1,1173,Kinka Beach,150.7876,-23.2243,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 120 - 120 - RBWH,1990-01-01 12:00:00,1990-01-01 15:24:36,1990-01-01 02:00:00,1990-01-01 05:24:36,185.01615609,297.75523622,204.99009043,,,,,120,1,1234,Hervey Bay,152.8722,-25.28535,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 117 - 117 - RBWH,1990-01-01 12:00:00,1990-01-01 15:24:47,1990-01-01 02:00:00,1990-01-01 05:24:47,195.9063553,315.28134802,205.14586662,,,,,117,1,1231,Childers,152.2765,-25.23536,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 108 - 108 - RBWH,1990-01-01 12:00:00,1990-01-01 12:02:44,1990-01-01 02:00:00,1990-01-01 02:02:44,0.67012239,1.0784596,2.77529483,,,,,108,1,1441,RBWH,153.0285,-27.447,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 7 - 7 - RBWH,1990-01-01 12:00:00,1990-01-01 12:28:22,1990-01-01 02:00:00,1990-01-01 02:28:22,15.16471049,24.40528465,28.28530193,,,,,7,1,1340,Samford Valley - Highvale,152.8394,-27.36508,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 409 - 409 - RBWH,1990-01-01 12:00:00,1990-01-02 04:41:50,1990-01-01 02:00:00,1990-01-01 18:41:50,966.66208933,1555.69494488,1001.61686023,,,,,409,1,1079,Tully,145.9217,-17.93491,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 102 - 102 - RBWH,1990-01-01 12:00:00,1990-01-02 06:40:30,1990-01-01 02:00:00,1990-01-01 20:40:30,1065.84307997,1715.31159631,1119.29858387,,,,,102,1,1435,Smithfield,145.690172,-16.83142,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
Route 85 - 85 - RBWH,1990-01-01 12:00:00,1990-01-01 13:03:10,1990-01-01 02:00:00,1990-01-01 03:03:10,52.58238899,84.62332147,63.29324087,,,,,85,1,1418,Canungra,153.1598,-28.01415,RBWH,"296 Herston Road, Herston, QLD, 4029, AUS"
