RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
Route 416 - 416 - Redcliffe Hospital,1990-01-01 12:00:00,1990-01-02 07:34:28,1990-01-01 02:00:00,1990-01-01 21:34:28,1147.45519896,1846.65383302,1172.65785928,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Redcliffe Hospital,"Recreation St, Redcliffe, Brisbane, Queensland, 4020"
Route 405 - 405 - Redcliffe Hospital,1990-01-01 12:00:00,1990-01-02 04:37:55,1990-01-01 02:00:00,1990-01-01 18:37:55,964.67092226,1552.49046569,999.37890393,,,,,405,1,1075,El Arish,146.0048,-17.80559,Redcliffe Hospital,"Recreation St, Redcliffe, Brisbane, Queensland, 4020"
Route 399 - 399 - Redcliffe Hospital,1990-01-01 12:00:00,1990-01-02 06:01:55,1990-01-01 02:00:00,1990-01-01 20:01:55,1034.93134263,1665.5638778,1081.41074214,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Redcliffe Hospital,"Recreation St, Redcliffe, Brisbane, Queensland, 4020"
Route 203 - 203 - Redcliffe Hospital,1990-01-01 12:00:00,1990-01-01 12:35:36,1990-01-01 02:00:00,1990-01-01 02:35:36,26.36187574,42.42541141,35.6120178,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Redcliffe Hospital,"Recreation St, Redcliffe, Brisbane, Queensland, 4020"
Route 140 - 140 - Redcliffe Hospital,1990-01-01 12:00:00,1990-01-01 18:44:39,1990-01-01 02:00:00,1990-01-01 08:44:39,375.08853594,603.64769207,405.40036239,,,,,140,1,1254,Injune,148.5651,-25.84311,Redcliffe Hospital,"Recreation St, Redcliffe, Brisbane, Queensland, 4020"
Route 139 - 139 - Redcliffe Hospital,1990-01-01 12:00:00,1990-01-01 20:38:20,1990-01-01 02:00:00,1990-01-01 10:38:20,485.86485626,781.92525508,518.37017783,,,,,139,1,1253,Augathella,146.5842,-25.79596,Redcliffe Hospital,"Recreation St, Redcliffe, Brisbane, Queensland, 4020"
Route 34 - 34 - Redcliffe Hospital,1990-01-01 12:00:00,1990-01-01 13:46:04.000001,1990-01-01 02:00:00,1990-01-01 03:46:04,94.84418707,152.63722866,105.80200112,,,,,34,1,1367,Withcott,152.026,-27.55364,Redcliffe Hospital,"Recreation St, Redcliffe, Brisbane, Queensland, 4020"
Route 45 - 45 - Redcliffe Hospital,1990-01-01 12:00:00,1990-01-01 14:09:17.000001,1990-01-01 02:00:00,1990-01-01 04:09:17,106.97567061,172.16099797,128.9088759,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Redcliffe Hospital,"Recreation St, Redcliffe, Brisbane, Queensland, 4020"
Route 52 - 52 - Redcliffe Hospital,1990-01-01 12:00:00,1990-01-01 14:12:41,1990-01-01 02:00:00,1990-01-01 04:12:41,109.87045357,176.81970887,132.27224025,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Redcliffe Hospital,"Recreation St, Redcliffe, Brisbane, Queensland, 4020"
Route 322 - 322 - Redcliffe Hospital,1990-01-01 12:00:00,1990-01-01 15:52:51,1990-01-01 02:00:00,1990-01-01 05:52:51.000001,215.53930042,346.87757365,233.67711877,,,,,322,1,1214,Oakwood,152.298,-24.85082,Redcliffe Hospital,"Recreation St, Redcliffe, Brisbane, Queensland, 4020"
