RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
Route 416 - 416 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 23:09:07,1990-01-01 02:00:00,1990-01-01 13:09:07,643.21513563,1035.15648954,669.8921441,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 405 - 405 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 19:01:36,1990-01-01 02:00:00,1990-01-01 09:01:36,400.78055265,644.99506771,422.06865701,,,,,405,1,1075,El Arish,146.0048,-17.80559,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 399 - 399 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 20:24:42.000001,1990-01-01 02:00:00,1990-01-01 10:24:42,471.04096828,758.0684722,505.2553211,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 203 - 203 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 21:24:06,1990-01-01 02:00:00,1990-01-01 11:24:06,542.8356338,873.61101747,565.18267805,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 140 - 140 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 19:07:32,1990-01-01 02:00:00,1990-01-01 09:07:32,417.69065752,672.20929795,428.99873729,,,,,140,1,1254,Injune,148.5651,-25.84311,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 139 - 139 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 22:24:16,1990-01-01 02:00:00,1990-01-01 12:24:16.000001,621.41659699,1000.07507202,626.09783704,,,,,139,1,1253,Augathella,146.5842,-25.79596,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 34 - 34 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 22:31:10,1990-01-01 02:00:00,1990-01-01 12:31:10,588.8827128,947.71675599,631.72894679,,,,,34,1,1367,Withcott,152.026,-27.55364,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 45 - 45 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 22:17:16,1990-01-01 02:00:00,1990-01-01 12:17:16,584.28172741,940.31217294,617.71596953,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 52 - 52 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 22:22:43,1990-01-01 02:00:00,1990-01-01 12:22:43,592.43795491,953.43837499,623.20957229,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 322 - 322 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 18:16:03,1990-01-01 02:00:00,1990-01-01 08:16:03.000001,360.63033153,580.37942102,376.54835938,,,,,322,1,1214,Oakwood,152.298,-24.85082,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 221 - 221 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 15:51:19,1990-01-01 02:00:00,1990-01-01 05:51:19,217.61387988,350.21629234,231.57675623,,,,,221,1,1113,Alva Beach,147.4799,-19.45506,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 184 - 184 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 21:03:43,1990-01-01 02:00:00,1990-01-01 11:03:43,522.40459052,840.73037479,544.80082567,,,,,184,1,1298,Kiels Mountain,153.001,-26.6527,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 96 - 96 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 23:10:46,1990-01-01 02:00:00,1990-01-01 13:10:46,646.92041824,1041.11957582,671.23928634,,,,,96,1,1429,Inglewood,151.0795,-28.41751,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 89 - 89 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-02 01:00:43,1990-01-01 02:00:00,1990-01-01 15:00:43,765.16833069,1231.42152483,781.84821275,,,,,89,1,1422,Cunnamulla,145.6832,-28.06921,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 81 - 81 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 22:50:16,1990-01-01 02:00:00,1990-01-01 12:50:16,622.12997483,1001.22314466,651.33299713,,,,,81,1,1414,Beaudesert,152.9992,-27.98632,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 78 - 78 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 22:54:46,1990-01-01 02:00:00,1990-01-01 12:54:46,627.45402416,1009.79138864,655.80247009,,,,,78,1,1411,Mount Tamborine,153.2014,-27.97114,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 8 - 8 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 22:04:39.000001,1990-01-01 02:00:00,1990-01-01 12:04:39,579.14193134,932.04045643,605.77651105,,,,,8,1,1341,Samford,152.8849,-27.37146,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 27 - 27 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 22:40:43,1990-01-01 02:00:00,1990-01-01 12:40:43.000001,611.37198443,983.90980273,641.56517725,,,,,27,1,1360,Brightview,152.4916,-27.51975,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 360 - 360 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 21:59:38.000001,1990-01-01 02:00:00,1990-01-01 11:59:38,543.65515774,874.92991604,600.26222642,,,,,360,1,1030,Daintree,145.3306,-16.26079,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 324 - 324 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 18:23:50,1990-01-01 02:00:00,1990-01-01 08:23:50,364.63251332,586.82032115,384.41687568,,,,,324,1,1216,Bundaberg,152.3444,-24.87052,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 311 - 311 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 16:49:43,1990-01-01 02:00:00,1990-01-01 06:49:43,286.13221382,460.48608249,289.94506577,,,,,311,1,1203,Taylors Creek,149.1545,-24.25325,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 250 - 250 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 12:40:39,1990-01-01 02:00:00,1990-01-01 02:40:39,31.86673879,51.28464744,40.73782531,,,,,250,1,1142,Nindaroo,149.1636,-21.05945,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 126 - 126 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 18:28:57,1990-01-01 02:00:00,1990-01-01 08:28:57,371.12421635,597.26772537,389.13703012,,,,,126,1,1240,Eidsvold,151.1221,-25.37064,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 1 - 1 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 21:58:37,1990-01-01 02:00:00,1990-01-01 11:58:37,572.49288115,921.33982601,599.63499761,,,,,1,1,1334,Dayboro,152.8215,-27.19792,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 18 - 18 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 22:30:57,1990-01-01 02:00:00,1990-01-01 12:30:57,594.36911484,956.54628184,631.57378525,,,,,18,1,1351,Murphys Creek,152.0567,-27.46123,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
