RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
Route 416 - 416 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-02 01:07:13,1990-01-01 02:00:00,1990-01-01 15:07:13,773.86767389,1245.42178862,787.94674404,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 405 - 405 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 22:07:50.000001,1990-01-01 02:00:00,1990-01-01 12:07:50,586.36339005,943.66229092,609.03279672,,,,,405,1,1075,El Arish,146.0048,-17.80559,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 399 - 399 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 23:30:09,1990-01-01 02:00:00,1990-01-01 13:30:09,656.62380568,1056.7356954,691.07282,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 203 - 203 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:14:36,1990-01-01 02:00:00,1990-01-01 08:14:36,356.65962851,573.98918116,375.29518399,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 140 - 140 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 17:12:52.000001,1990-01-01 02:00:00,1990-01-01 07:12:52,303.31389963,488.13738077,313.05107381,,,,,140,1,1254,Injune,148.5651,-25.84311,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 139 - 139 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 20:41:20,1990-01-01 02:00:00,1990-01-01 10:41:20,494.17612248,795.30096825,521.23963652,,,,,139,1,1253,Augathella,146.5842,-25.79596,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 34 - 34 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:22:10,1990-01-01 02:00:00,1990-01-01 09:22:10,402.70670751,648.09491968,442.24666217,,,,,34,1,1367,Withcott,152.026,-27.55364,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 45 - 45 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:08:10,1990-01-01 02:00:00,1990-01-01 09:08:10,398.10572211,640.69033663,428.16716258,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 52 - 52 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:13:41,1990-01-01 02:00:00,1990-01-01 09:13:41,406.26194962,653.81653868,433.69824289,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 322 - 322 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 15:05:19,1990-01-01 02:00:00,1990-01-01 05:05:19,174.45432623,280.75758471,185.67445891,,,,,322,1,1214,Oakwood,152.298,-24.85082,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 221 - 221 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:58:46,1990-01-01 02:00:00,1990-01-01 08:58:46.000001,403.19671728,648.88351554,419.2843172,,,,,221,1,1113,Alva Beach,147.4799,-19.45506,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 184 - 184 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 17:54:04,1990-01-01 02:00:00,1990-01-01 07:54:04,336.22858049,541.10853085,354.75623346,,,,,184,1,1298,Kiels Mountain,153.001,-26.6527,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 96 - 96 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 20:02:10,1990-01-01 02:00:00,1990-01-01 10:02:10,460.74441295,741.49773951,482.09239657,,,,,96,1,1429,Inglewood,151.0795,-28.41751,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 89 - 89 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 23:05:08,1990-01-01 02:00:00,1990-01-01 13:05:08,646.2366806,1040.01920454,666.41360948,,,,,89,1,1422,Cunnamulla,145.6832,-28.06921,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 81 - 81 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:41:26,1990-01-01 02:00:00,1990-01-01 09:41:26.000001,435.95396953,701.60130834,462.0096455,,,,,81,1,1414,Beaudesert,152.9992,-27.98632,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 78 - 78 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:45:58,1990-01-01 02:00:00,1990-01-01 09:45:58,441.27801886,710.16955233,466.50824638,,,,,78,1,1411,Mount Tamborine,153.2014,-27.97114,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 8 - 8 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:55:27,1990-01-01 02:00:00,1990-01-01 08:55:27.000001,392.96592604,632.41862012,416.14161483,,,,,8,1,1341,Samford,152.8849,-27.37146,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 27 - 27 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:31:47,1990-01-01 02:00:00,1990-01-01 09:31:47,425.19597913,684.28796641,452.1302515,,,,,27,1,1360,Brightview,152.4916,-27.51975,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 360 - 360 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-02 01:04:19,1990-01-01 02:00:00,1990-01-01 15:04:19,729.23799514,1173.59713925,785.32100059,,,,,360,1,1030,Daintree,145.3306,-16.26079,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 324 - 324 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 15:13:10,1990-01-01 02:00:00,1990-01-01 05:13:10,178.45650802,287.19848484,193.5372024,,,,,324,1,1216,Bundaberg,152.3444,-24.87052,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 311 - 311 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 14:18:50,1990-01-01 02:00:00,1990-01-01 04:18:50,135.46607514,218.01195126,138.86237034,,,,,311,1,1203,Taylors Creek,149.1545,-24.25325,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 250 - 250 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 15:49:01,1990-01-01 02:00:00,1990-01-01 05:49:01,217.44957145,349.95186302,229.34708887,,,,,250,1,1142,Nindaroo,149.1636,-21.05945,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 126 - 126 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 15:18:19,1990-01-01 02:00:00,1990-01-01 05:18:19,184.94821105,297.64588906,198.25001035,,,,,126,1,1240,Eidsvold,151.1221,-25.37064,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 1 - 1 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:49:20,1990-01-01 02:00:00,1990-01-01 08:49:20,386.31687586,621.71798969,409.98444401,,,,,1,1,1334,Dayboro,152.8215,-27.19792,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 18 - 18 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:21:57.000001,1990-01-01 02:00:00,1990-01-01 09:21:57,408.19310954,656.92444553,442.08754756,,,,,18,1,1351,Murphys Creek,152.0567,-27.46123,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 312 - 312 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 13:52:15.000001,1990-01-01 02:00:00,1990-01-01 03:52:15,104.86157188,168.75867905,112.45634801,,,,,312,1,1204,Miriam Vale,151.5583,-24.328,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 258 - 258 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 15:30:39,1990-01-01 02:00:00,1990-01-01 05:30:39,204.05049867,328.38810251,210.81883882,,,,,258,1,1150,Bakers Creek,149.1521,-21.20776,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 214 - 214 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:33:39,1990-01-01 02:00:00,1990-01-01 08:33:39,372.6802734,599.77196146,394.28182123,,,,,214,1,1328,Sandstone Point,153.1273,-27.08295,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 5 - 5 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:58:23,1990-01-01 02:00:00,1990-01-01 08:58:23,397.5913068,639.86246378,418.73086585,,,,,5,1,1338,Goombungee,151.8502,-27.30485,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 415 - 415 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 21:29:51,1990-01-01 02:00:00,1990-01-01 11:29:51,549.58057329,884.46596707,570.51792665,,,,,415,1,1085,Cardwell,146.0227,-18.26396,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 345 - 345 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-02 11:18:53,1990-01-01 02:00:00,1990-01-02 01:18:53,1271.76031248,2046.70392174,1399.89947522,,,,,345,1,1015,New Mapoon,142.3863,-10.87403,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 168 - 168 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 17:35:25,1990-01-01 02:00:00,1990-01-01 07:35:25,316.17468273,508.83484627,336.09631799,,,,,168,1,1282,Cooroy,152.9089,-26.41875,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 160 - 160 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 17:29:16,1990-01-01 02:00:00,1990-01-01 07:29:16,307.39941995,494.71240153,329.91936527,,,,,160,1,1274,Cooran,152.8222,-26.33805,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 100 - 100 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 20:48:47,1990-01-01 02:00:00,1990-01-01 10:48:47,485.26963904,780.9673439,528.79886083,,,,,100,1,1433,Stanthorpe,151.9327,-28.65779,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 3 - 3 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:52:11,1990-01-01 02:00:00,1990-01-01 08:52:11,393.59088727,633.42439973,412.50646318,,,,,3,1,1336,Crows Nest,152.0506,-27.26153,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 435 - 435 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 20:08:21,1990-01-01 02:00:00,1990-01-01 10:08:21,470.36902791,756.98708683,488.88613915,,,,,435,1,1105,Bluewater Park,146.5138,-19.20308,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 281 - 281 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 12:35:09,1990-01-01 02:00:00,1990-01-01 02:35:09,28.44312327,45.77486133,35.23921906,,,,,281,1,1173,Kinka Beach,150.7876,-23.2243,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 120 - 120 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 16:24:54,1990-01-01 02:00:00,1990-01-01 06:24:54,246.23106805,396.27128452,265.46957218,,,,,120,1,1234,Hervey Bay,152.8722,-25.28535,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 117 - 117 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 15:31:21.000001,1990-01-01 02:00:00,1990-01-01 05:31:21,200.05048768,321.95069595,211.75644855,,,,,117,1,1231,Childers,152.2765,-25.23536,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 108 - 108 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:52:28,1990-01-01 02:00:00,1990-01-01 08:52:28,389.74450345,627.23423264,413.00928488,,,,,108,1,1441,RBWH,153.0285,-27.447,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 7 - 7 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:58:11,1990-01-01 02:00:00,1990-01-01 08:58:11.000001,394.86785026,635.47947657,418.84161122,,,,,7,1,1340,Samford Valley - Highvale,152.8394,-27.36508,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 409 - 409 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 21:59:06,1990-01-01 02:00:00,1990-01-01 11:59:06,576.70987704,928.12643661,600.06768492,,,,,409,1,1079,Tully,145.9217,-17.93491,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 102 - 102 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 23:49:33,1990-01-01 02:00:00,1990-01-01 13:49:33,670.26805558,1078.69403103,710.48588314,,,,,102,1,1435,Smithfield,145.690172,-16.83142,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 85 - 85 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:44:12,1990-01-01 02:00:00,1990-01-01 09:44:12,440.54567874,708.9909628,464.80880624,,,,,85,1,1418,Canungra,153.1598,-28.01415,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 6 - 6 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:11:16,1990-01-01 02:00:00,1990-01-01 09:11:16,402.95022295,648.48682058,432.01370497,,,,,6,1,1339,Mount Glorious,152.7701,-27.33397,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 63 - 63 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:32:39,1990-01-01 02:00:00,1990-01-01 09:32:39.000001,426.34283687,686.13365873,453.23242728,,,,,63,1,1396,Peak Crossing,152.7294,-27.78404,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 440 - 440 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:30:59,1990-01-01 02:00:00,1990-01-01 09:30:59,436.71210239,702.82140735,451.57938913,,,,,440,1,1110,Nome,146.9099,-19.37372,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 247 - 247 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 16:08:15,1990-01-01 02:00:00,1990-01-01 06:08:15,240.48926294,387.03072645,248.56511548,,,,,247,1,1139,Calen,148.7716,-20.89849,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
