RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
Route 416 - 416 - Roma Hospital,1990-01-01 12:00:00,1990-01-02 02:29:11.000001,1990-01-01 02:00:00,1990-01-01 16:29:11,855.63836318,1377.01921999,870.68187402,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 405 - 405 - Roma Hospital,1990-01-01 12:00:00,1990-01-02 01:00:13,1990-01-01 02:00:00,1990-01-01 15:00:13,766.40028184,1233.40416199,781.45776392,,,,,405,1,1075,El Arish,146.0048,-17.80559,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 399 - 399 - Roma Hospital,1990-01-01 12:00:00,1990-01-02 02:08:09,1990-01-01 02:00:00,1990-01-01 16:08:09,836.40268141,1346.06232904,850.29347789,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 203 - 203 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:04:58,1990-01-01 02:00:00,1990-01-01 08:04:58,335.34072368,539.67966097,365.15639506,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 140 - 140 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 12:59:34,1990-01-01 02:00:00,1990-01-01 02:59:34,56.703086,91.25495374,59.5551316,,,,,140,1,1254,Injune,148.5651,-25.84311,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 139 - 139 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 14:51:45,1990-01-01 02:00:00,1990-01-01 04:51:45,166.75021916,268.35900143,171.70648742,,,,,139,1,1253,Augathella,146.5842,-25.79596,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 34 - 34 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 16:12:47,1990-01-01 02:00:00,1990-01-01 06:12:47,224.80790845,361.79398221,253.09555351,,,,,34,1,1367,Withcott,152.026,-27.55364,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 45 - 45 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 15:58:50,1990-01-01 02:00:00,1990-01-01 05:58:50,220.20696098,354.3894602,239.1014253,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 52 - 52 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 16:04:23.000001,1990-01-01 02:00:00,1990-01-01 06:04:23,228.36318849,367.51566225,244.58744988,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 322 - 322 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:49:48,1990-01-01 02:00:00,1990-01-01 08:49:48.000001,395.30161607,636.17755637,410.39128844,,,,,322,1,1214,Oakwood,152.298,-24.85082,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 221 - 221 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 23:10:08.000001,1990-01-01 02:00:00,1990-01-01 13:10:08,656.12943185,1055.94007625,671.31279831,,,,,221,1,1113,Alva Beach,147.4799,-19.45506,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
