RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
"Route 416 - 416 - 100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS",1/01/1990 12:00,1/01/1990 17:45,1/01/1990 2:00,1/01/1990 7:45,331.8286149,534.0274584,345.7479095,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Townsville University Hospital,"100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS"
"Route 405 - 405 - 100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS",1/01/1990 12:00,1/01/1990 14:28,1/01/1990 2:00,1/01/1990 4:28,139.6227082,224.7014172,149.0178481,,,,,405,1,1075,El Arish,146.0048,-17.80559,Townsville University Hospital,"100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS"
"Route 399 - 399 - 100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS",1/01/1990 12:00,1/01/1990 15:52,1/01/1990 2:00,1/01/1990 5:52,209.8831239,337.7748216,232.6055564,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Townsville University Hospital,"100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS"
"Route 203 - 203 - 100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS",1/01/1990 12:00,2/01/1990 1:53,1/01/1990 2:00,1/01/1990 15:53,803.4661285,1293.055979,835.3480657,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Townsville University Hospital,"100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS"
"Route 140 - 140 - 100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS",1/01/1990 12:00,53:16.0,1/01/1990 2:00,1/01/1990 11:53,570.6758958,918.4156656,593.8370804,,,,,140,1,1254,Injune,148.5651,-25.84311,Townsville University Hospital,"100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS"
"Route 139 - 139 - 100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS",1/01/1990 12:00,2/01/1990 0:56,1/01/1990 2:00,1/01/1990 14:56,772.0106333,1242.433165,778.4178254,,,,,139,1,1253,Augathella,146.5842,-25.79596,Townsville University Hospital,"100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS"
"Route 34 - 34 - 100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS",1/01/1990 12:00,2/01/1990 2:42,1/01/1990 2:00,1/01/1990 16:42,850.8440244,1369.303464,886.2370411,,,,,34,1,1367,Withcott,152.026,-27.55364,Townsville University Hospital,"100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS"
"Route 45 - 45 - 100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS",1/01/1990 12:00,2/01/1990 2:29,1/01/1990 2:00,1/01/1990 16:29,846.243039,1361.898881,873.1975859,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Townsville University Hospital,"100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS"
"Route 52 - 52 - 100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS",1/01/1990 12:00,34:47.0,1/01/1990 2:00,1/01/1990 16:34,854.3992665,1375.025083,878.2701868,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Townsville University Hospital,"100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS"
"Route 322 - 322 - 100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS",1/01/1990 12:00,1/01/1990 22:47,1/01/1990 2:00,1/01/1990 12:47,621.2608262,999.8243828,649.2764055,,,,,322,1,1214,Oakwood,152.298,-24.85082,Townsville University Hospital,"100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS"
"Route 221 - 221 - 100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS",1/01/1990 12:00,1/01/1990 13:15,1/01/1990 2:00,1/01/1990 3:15,64.23257072,103.372509,75.38588839,,,,,221,1,1113,Alva Beach,147.4799,-19.45506,Townsville University Hospital,"100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS"
"Route 184 - 184 - 100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS",1/01/1990 12:00,2/01/1990 1:33,1/01/1990 2:00,1/01/1990 15:33,783.0350852,1260.175337,815.1885376,,,,,184,1,1298,Kiels Mountain,153.001,-26.6527,Townsville University Hospital,"100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS"
"Route 96 - 96 - 100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS",1/01/1990 12:00,2/01/1990 3:21,1/01/1990 2:00,1/01/1990 17:21,908.8817299,1462.706284,923.7188665,,,,,96,1,1429,Inglewood,151.0795,-28.41751,Townsville University Hospital,"100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS"
"Route 89 - 89 - 100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS",1/01/1990 12:00,2/01/1990 3:25,1/01/1990 2:00,1/01/1990 17:25,915.762367,1473.779618,927.7375354,,,,,89,1,1422,Cunnamulla,145.6832,-28.06921,Townsville University Hospital,"100 Angus Smith Dr, Douglas, Townsville, Queensland, 4814, AUS"
